SIteID,Site,Rep,Gambusia holbrooki,Arenigobius bifrenatus,Mugil cephalus,Acanthopagrus butcheri,Limnodynastes dorsalis,Pseudophryne guentheri,Anas platyrhynchos,Spilopelia chinensis,Porphyrio porphyrio,Porzana tabuensis,Egretta novaehollandiae,Trichoglossus rubritorquis,Bos taurus,Ovis sp.,Mus musculus,Rattus sp.,Blackfordia polytentaculata,Obelia bidentata,Phyllorhiza punctata,Aurelia sp.,Canis lupus familiaris
1a,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
1b,1,2,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
1c,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1d,1,4,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
2a,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2b,2,2,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2c,2,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2d,2,4,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
3a,3,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3b,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3c,3,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3d,3,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4a,4,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0
4b,4,2,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
4c,4,3,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
4d,4,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
5a,5,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
5b,5,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
5c,5,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
5d,5,4,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
6a,6,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
6b,6,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
6c,6,3,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
6d,6,4,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
7a,7,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
7b,7,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
7c,7,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7d,7,4,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
8a,8,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8b,8,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8c,8,3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8d,8,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9a,9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
9b,9,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
9c,9,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
9d,9,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
10a,10,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10b,10,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10c,10,3,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10d,10,4,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
11a,11,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11b,11,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11c,11,3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11d,11,4,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
